tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,10,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31197
2021,10,Mikrotrans,JAK.85,Bintara - Cipinang Indah,30711
2021,10,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40186
2021,10,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,61883
2021,10,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,66616
2021,10,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,50363
2021,10,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,50676
2021,10,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,75846
2021,10,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,97831
2021,10,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57649
2021,10,Mikrotrans,JAK.64,Lenteng Agung - Aseli,52926
2021,10,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,35233
2021,10,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,69665
2021,10,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,72106
2021,10,Mikrotrans,JAK.58,Cilingcing - Rorotan,91654
2021,10,Mikrotrans,JAK.56,Grogol - Srengseng,49293
2021,10,Mikrotrans,JAK.54,Grogol - Benhil,41815
2021,10,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,46344
2021,10,Mikrotrans,JAK.52,Kalideres - Muara Angke,65266
2021,10,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,104140
2021,10,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69097
2021,10,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44014
2021,10,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,50597
2021,10,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,83425
2021,10,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,48167
2021,10,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64885
2021,10,Mikrotrans,JAK.43,Tongtek - Cililitan,94923
2021,10,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,71096
2021,10,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,46177
2021,10,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,41534
2021,10,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,63975
2021,10,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,46304
2021,10,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,59214
2021,10,Mikrotrans,JAK.36,Cilangkap - Cililitan,64162
2021,10,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,32715
2021,10,Mikrotrans,JAK.34,Rawamangun - Klender,69978
2021,10,Mikrotrans,JAK.33,Pulo Gadung - Kota,51615
2021,10,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,79962
2021,10,Mikrotrans,JAK.31,Blok M - Andara,60715
2021,10,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,133054
2021,10,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,117647
2021,10,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,62587
2021,10,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,51771
2021,10,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43232
2021,10,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,49474
2021,10,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,80125
2021,10,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,20483
2021,10,Mikrotrans,JAK.21,Cililitan - Dwikora,73032
2021,10,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,53380
2021,10,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,99743
2021,10,Mikrotrans,JAK.18,Kalibata - Kuningan,36622
2021,10,Mikrotrans,JAK.17,Senen - Pulo Gadung ,51089
2021,10,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,83100
2021,10,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,120526
2021,10,Mikrotrans,JAK.14,Tanah Abang - Meruya,91917
2021,10,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,18200
2021,10,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,69299
2021,10,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,93413
2021,10,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,73467
2021,10,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,78213
2021,10,Mikrotrans,JAK.10,Tanah Abang - Kota ,49482
2021,10,Mikrotrans,JAK.09,Roxy Mas - Karet,28495
2021,10,Mikrotrans,JAK.08,Roxy - Benhil,41236
2021,10,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,56372
2021,10,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,64505
2021,10,Mikrotrans,JAK.05,Semper - Rorotan,65429
2021,10,Mikrotrans,JAK.04,Grogol - Tubagus Angke,50863
2021,10,Mikrotrans,JAK.03,Lebak Bulus - Andara,37131
2021,10,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,48317
2021,10,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,65293
2021,10,BRT,9,Pinang Ranti - Pluit,670052
2021,10,BRT,8,Lebak Bulus - Harmoni,442361
2021,10,BRT,7,Kampung Rambutan - Kampung Melayu,376261
2021,10,BRT,6,Ragunan - Dukuh Atas 2,348321
2021,10,BRT,5,Kampung Melayu - Ancol,430590
2021,10,BRT,4,Pulo Gadung 2 - Tosari,274326
2021,10,BRT,3,Kalideres - Pasar Baru,466445
2021,10,BRT,2,Pulo Gadung 1 - Harmoni,331229
2021,10,BRT,13,Ciledug - Tendean,307410
2021,10,BRT,12,Penjaringan - Sunter Bouleverd Barat,140853
2021,10,BRT,11,Pulo Gebang - Kampung Melayu,135543
2021,10,BRT,10,Tanjung Priok - PGC 2,369184
2021,10,BRT,1,Blok M - Kota,903783
2021,10,Angkutan Umum Integrasi,9H,Cipedak - Blok M,16256
2021,10,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,16905
2021,10,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,81799
2021,10,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8122
2021,10,Angkutan Umum Integrasi,8E,Bintaro - Blok M,18112
2021,10,Angkutan Umum Integrasi,8D,Joglo - Blok M,24637
2021,10,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,10,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,25384
2021,10,Angkutan Umum Integrasi,7D,Pancoran - TMII,20689
2021,10,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,77492
2021,10,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,80151
2021,10,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,10,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,25776
2021,10,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,19821
2021,10,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18839
2021,10,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,93175
2021,10,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,78012
2021,10,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,14392
2021,10,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,7245
2021,10,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,34614
2021,10,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,33436
2021,10,Angkutan Umum Integrasi,3E ,Sentraland Cengkareng - Puri Kembangan,24133
2021,10,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,12633
2021,10,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,26660
2021,10,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,9135
2021,10,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,12969
2021,10,Angkutan Umum Integrasi,1M,Meruya - Blok M,20501
2021,10,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,37638
2021,10,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,10,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,71245
2021,10,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,14984
2021,10,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,29339
2021,10,Angkutan Umum Integrasi,1A,PIK - Balai Kota,67571
2021,10,Angkutan Umum Integrasi,12B,Pluit - Senen,8148
2021,10,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,9781
2021,10,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,54197
2021,10,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,34615
2021,10,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,22
2021,10,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,21
